CustomerID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight
250,4/24/2013,5/3/2013,944.37,75.55,23.61
250,9/18/2013,9/27/2013,3811.5,304.92,95.29
251,7/12/2013,7/21/2013,1796.04,143.68,44.9
251,8/18/2013,8/27/2013,1525.23,122.02,38.13
251,9/17/2013,9/26/2013,171.08,13.69,4.28
251,9/8/2013,9/17/2013,8847.3,707.78,221.18
251,9/15/2013,9/24/2013,944.37,75.55,23.61
251,1/24/2012,2/2/2012,418.95,33.52,10.47
251,3/28/2012,4/6/2012,3413.25,273.06,85.33
251,8/26/2013,9/4/2013,6987.75,559.02,174.69
252,8/8/2013,8/17/2013,566.09,45.29,14.15
253,4/25/2013,5/4/2013,1796.04,143.68,44.9
253,8/11/2013,8/20/2013,270.81,21.66,6.77
253,9/8/2013,9/17/2013,171.08,13.69,4.28
253,9/1/2013,9/10/2013,8847.3,707.78,221.18
253,9/5/2013,9/14/2013,944.37,75.55,23.61
253,7/30/2013,8/8/2013,6987.75,559.02,174.69
253,8/18/2013,8/27/2013,6987.75,559.02,174.69
254,9/8/2013,9/17/2013,1796.04,143.68,44.9
254,5/30/2012,6/8/2012,171.08,13.69,4.28
254,4/16/2011,4/25/2011,272.1,21.77,6.8
254,2/9/2012,2/18/2012,8847.3,707.78,221.18
254,1/25/2012,2/3/2012,26455.28,2116.42,661.38
254,4/11/2012,4/20/2012,944.37,75.55,23.61
254,5/23/2013,6/1/2013,240.72,19.26,6.02
254,8/14/2013,8/23/2013,273.7,21.9,6.84
255,9/21/2012,9/30/2012,1796.04,143.68,44.9
255,8/5/2013,8/14/2013,1796.04,143.68,44.9
255,9/1/2013,9/10/2013,171.08,13.69,4.28
255,8/25/2013,9/3/2013,8847.3,707.78,221.18
255,8/29/2013,9/7/2013,944.37,75.55,23.61
255,9/29/2013,10/8/2013,402.73,32.22,10.07
255,5/9/2013,5/18/2013,6987.75,559.02,174.69
255,8/12/2013,8/21/2013,6987.75,559.02,174.69
255,6/25/2012,7/4/2012,7132.13,570.57,178.3
256,5/30/2012,6/8/2012,1796.04,143.68,44.9
256,8/25/2013,9/3/2013,171.08,13.69,4.28
256,6/25/2013,7/4/2013,8847.3,707.78,221.18
256,8/17/2013,8/26/2013,8847.3,707.78,221.18
256,8/22/2013,8/31/2013,944.37,75.55,23.61
256,9/11/2013,9/20/2013,564.2,45.14,14.1
256,10/2/2012,10/11/2012,6987.75,559.02,174.69
256,8/5/2013,8/14/2013,6987.75,559.02,174.69
256,1/16/2012,1/25/2012,43878.45,3510.28,1096.96
256,3/9/2012,3/18/2012,7132.13,570.57,178.3
257,9/1/2013,9/10/2013,1525.23,122.02,38.13
257,4/16/2011,4/25/2011,8847.3,707.78,221.18
257,2/9/2012,2/18/2012,171.08,13.69,4.28
257,2/13/2013,2/22/2013,389.66,31.17,9.74
257,9/9/2013,9/18/2013,6987.75,559.02,174.69
258,9/18/2013,9/27/2013,1796.04,143.68,44.9
258,9/21/2012,9/30/2012,171.08,13.69,4.28
258,8/4/2013,8/13/2013,171.08,13.69,4.28
258,5/30/2012,6/8/2012,8847.3,707.78,221.18
258,8/24/2012,9/2/2012,944.37,75.55,23.61
258,8/4/2013,8/13/2013,944.37,75.55,23.61
258,8/21/2013,8/30/2013,515.69,41.25,12.89
259,12/14/2011,12/23/2011,694.17,55.53,17.35
259,2/23/2012,3/3/2012,1796.04,143.68,44.9
259,6/25/2013,7/4/2013,171.08,13.69,4.28
259,8/17/2013,8/26/2013,171.08,13.69,4.28
259,4/24/2013,5/3/2013,8847.3,707.78,221.18
259,8/11/2013,8/20/2013,8847.3,707.78,221.18
259,5/29/2013,6/7/2013,944.37,75.55,23.61
259,8/15/2013,8/24/2013,944.37,75.55,23.61
259,9/4/2013,9/13/2013,347.45,27.8,8.69
259,6/22/2012,7/1/2012,6987.75,559.02,174.69
260,4/24/2013,5/3/2013,171.08,13.69,4.28
260,8/11/2013,8/20/2013,171.08,13.69,4.28
260,9/5/2012,9/14/2012,8847.3,707.78,221.18
260,8/4/2013,8/13/2013,8847.3,707.78,221.18
260,8/10/2013,8/19/2013,944.37,75.55,23.61
260,8/28/2013,9/6/2013,366.35,29.31,9.16
260,12/15/2011,12/24/2011,551.88,44.15,13.8
260,3/8/2012,3/17/2012,6987.75,559.02,174.69
261,8/25/2013,9/3/2013,270.81,21.66,6.77
261,9/17/2013,9/26/2013,8847.3,707.78,221.18
261,8/15/2012,8/24/2012,272.44,21.8,6.81
261,9/2/2013,9/11/2013,6987.75,559.02,174.69
